,sound_name,content,embedding_x,embedding_y,cluster
132,REF Digital_FM_Freak,OSC,-0.97085994,0.39008045,11
133,REF Digital_Dist C2,OSC,0.29513305,0.61298686,8
134,REF Digital_Razor,OSC,0.17697355,0.5254212,8
135,REF Analog_PWM MedicineHat,OSC,0.3599437,0.8212401,10
136,REF Spectral_Squelchy FM 2 [SL],OSC,-0.119143285,0.6723534,13
137,REF Vowel_WahWah,OSC,-0.705029,0.015511897,0
138,REF Digital_Mario,OSC,-0.57289153,0.083610885,0
139,REF Spectral_Monster 5 [SL],OSC,0.09754195,0.6013794,8
140,REF Spectral_Monster 4 [SL],OSC,-0.1015724,0.8167107,13
141,REF Digital_PerfectSOSteps,OSC,-0.732664,0.66448724,14
142,REF Analog_MellowButInstable,OSC,-0.653021,0.042719595,0
143,REF Digital_Kream,OSC,-0.40643942,0.31525955,6
144,REF Digital_PWM Electro,OSC,0.40012002,0.5996907,9
145,REF Digital_Dist Bass Dropper,OSC,-0.16056779,0.66478664,13
146,REF Analog_BS2-Filthy,OSC,0.0076343575,0.45605206,13
147,REF Analog_4088,OSC,-0.07614316,0.54945815,13
148,REF Analog_PWM Genji,OSC,-0.15150812,0.35567927,13
149,REF Spectral_Grimace [SN],OSC,0.44227055,0.54265803,9
150,REF Analog_SawRounded,OSC,-0.8081722,0.068151265,3
151,REF Vowel_OOH_YAH_OO,OSC,-0.33259287,0.19363943,6
152,REF Analog_Analog_BD_Sin,OSC,-0.91151583,0.44545972,17
153,REF Analog_MB Saw,OSC,-0.14050198,0.51089716,13
154,REF Digital_Voxu,OSC,-0.47907138,0.32371584,6
155,REF Digital_Harmonic Morph,OSC,-0.9966249,0.4491973,11
156,REF Spectral_Reesey Mess 2 [SL],OSC,-0.36362934,0.36976528,6
157,REF Spectral_Reesey Mess 3 [SL],OSC,-0.37028825,0.55120534,6
158,LD Essence [7S],Leads,0.8675059,0.14903452,4
159,LD Gamers [BR],Leads,0.188665,-0.8414478,7
160,LD Paradigm Drift [SN],Leads,0.22400902,-0.1851182,1
161,LD Theremax [ASL],Leads,-0.43283084,-0.6855241,20
162,LD Hardstyle Lead [SN],Leads,0.80550796,0.02824429,10
163,LD 8bitcycle [AF],Leads,0.63781506,-0.03993626,10
164,LD Screamy Sync Square [ASL],Leads,0.048918016,-0.4941741,7
165,LD Birth Of Electro [FP],Leads,-0.1338676,-0.4624952,19
166,LD Cripple [JD],Leads,0.21038473,-0.13192421,1
167,LD Kidsos [7S],Leads,0.4674019,-0.1791058,1
168,LD Mobius Sync [SD],Leads,-0.08095337,0.7400891,13
169,LD Rave [7S],Leads,0.64695835,-0.14981458,22
170,LD Dirty Lead [SW],Leads,0.73549545,-0.16414003,10
171,LD Plucking Organ thief [DK],Leads,0.5417167,-0.21410674,1
172,LD booty [AF],Leads,0.88610715,0.15399578,4
173,LD Sad Melody [7S],Leads,-0.23402898,-0.28851378,19
174,LD Hypersaw [JD],Leads,0.56484777,-0.2722689,22
175,LD Ring Scream [PL],Leads,-0.0386812,-0.7687841,19
176,LD Old Lead [FN],Leads,0.0897214,-0.31236678,7
177,LD Magic Pipe [BR],Leads,0.23703097,0.532081,8
178,LD Riptile [GS],Leads,0.450406,-0.68202466,22
179,LD Bionic Squirrel [BS],Leads,0.7683735,-0.29459998,10
180,LD Nadamoog [FP],Leads,-0.71891713,0.03888225,0
181,LD Electro Lead BA [SN],Leads,0.8304569,0.10006672,4
182,LD Clang [SD],Leads,-0.1401752,-0.3560989,19
183,LD Heavy Metall [SD],Leads,0.44493324,-0.22978604,1
184,LD Brutality [FN],Leads,0.09338421,-0.7743521,7
185,LD Epic Lead [AS],Leads,0.39196074,-0.44297427,1
186,LD Bendy Metal [DK],Leads,0.7439102,-0.29541337,10
187,LD Dubrill [JD],Leads,0.4107632,-0.5423712,22
188,LD Scratchy (Hold) [AF],Leads,0.7926346,0.045012522,10
189,LD PaWuMpa [FP],Leads,0.006699626,-0.13142605,13
190,LD Watery [SD],Leads,0.38350138,-0.1283537,1
191,LD D_Lead 2[DU],Leads,-0.65489763,0.19320083,0
192,LD Digi Radar Boss [JL],Leads,0.61806446,-0.1431261,22
193,LD Earliertoday [AF],Leads,0.47746018,0.004047825,1
194,LD Organ Grinder [DK],Leads,0.17772211,-0.4008037,7
195,LD In Your Face [RI],Leads,0.7460319,0.13791068,10
196,LD Power 5ths [FP],Leads,0.17491958,-0.6611622,7
197,LD Release The BotRock,Leads,-0.7723294,0.1939179,3
198,LD Junatic [AF],Leads,0.76863277,-0.04464548,10
199,LD Jacked [7S],Leads,0.6394854,-0.10078969,22
200,LD BraveHeart [7S],Leads,0.3714761,-0.34133628,1
201,LD A Bit of Luck [SD],Leads,0.30250442,-0.7983336,7
202,LD Festival Beez [FP],Leads,0.9658355,0.20586848,21
203,LD Voicy [7S],Leads,0.51006377,-0.5916916,22
204,LD Scotland [BR],Leads,-0.42190835,-0.7134201,20
205,LD LaughMod [GS],Leads,0.4837302,-0.5552018,22
206,LD Analogesque [EE],Leads,0.46644583,-0.47203907,22
207,LD C64 Lead [AS] ,Leads,0.50539297,-0.11961542,1
208,LD Tator [JD],Leads,0.4853588,-0.66257346,22
209,LD Marina [FP],Leads,-0.57512414,0.0034913572,0
210,LD Titan [CFA],Leads,0.68630946,-0.47188395,22
211,LD D_Lead 1 [DU],Leads,-0.098735966,-0.28953645,19
212,LD Araba [7S],Leads,0.71426773,-0.0231888,10
213,LD HelloKitty [CFA],Leads,0.82115763,0.33075738,12
214,LD Postmodern Talking [FP],Leads,-0.047391716,-0.14724231,19
215,LD IHeardULike5ths [SD],Leads,-0.5974414,-0.38246894,20
216,LD Noor Santoor [BR],Leads,0.08617493,-0.1785434,13
217,LD Voxy [JD],Leads,0.4047975,-0.5489575,22
218,LD SerumOfGod [7S],Leads,0.7579716,-0.22661172,10
219,LD Shanky Ganky Bot [LCV],Leads,0.8342079,0.19026354,4
220,LD LimoDriver [GS],Leads,0.73567295,-0.10679365,10
221,LD Mids Lead [BR],Leads,0.5255291,-0.5237168,22
222,LD Jerk [BR],Leads,0.6014212,-0.5096157,22
223,LD Spookytastic [FP],Leads,-0.9808804,0.47550792,11
224,LD BottleBlower [SD],Leads,-0.12852925,-0.2468373,19
225,LD Tokyo [BR],Leads,0.21862243,-0.8267518,7
226,LD Pterodattero [AF],Leads,0.40934262,-0.030320937,1
227,LD PeterPiper [SD],Leads,-0.88360304,0.10974593,3
228,LD Caliber [SD],Leads,-0.5409366,-0.23862354,20
229,KP Xylo,KOMPLETE,-0.08018961,-0.32956368,19
230,KP Orchester Bastard 1,KOMPLETE,-0.04849525,0.18845731,13
231,KP Ancient Pipes,KOMPLETE,-0.68057686,-0.20728421,3
232,KP ChainSaw Massacre,KOMPLETE,0.2633321,-0.6963062,7
233,KP Ivory Mallet,KOMPLETE,-0.61074895,-0.14943577,0
234,KP Harpolodic,KOMPLETE,-0.46766263,-0.033603802,6
235,KP Oboe,KOMPLETE,-0.7990943,0.22226456,24
236,KP Ice Bell,KOMPLETE,-0.42204702,-0.26209813,24
237,BA BSOD Sqr Bass [SD],Bass,0.7645875,0.4121913,16
238,BA Three Oh Three [PL],Bass,-0.07134797,-1.0,23
239,BA Sub_dskprc [GI],Bass,0.027536916,-0.58784616,7
240,BA Mute Bass Gtr [BR],Bass,-0.05042724,-0.7986572,19
241,BA Talk Wobz [ADWR],Bass,0.15514249,-0.7921507,7
242,BA FunkMogue [CFA],Bass,0.047820356,-0.83918023,7
243,BA Analog Pluck [SN],Bass,0.24454236,-0.63148856,7
244,BA Headbass [FP],Bass,-0.115621775,0.026547667,19
245,BA D_Bass 1 [DU],Bass,-0.74537456,0.16036035,3
246,BA DnB Roller [ASL],Bass,0.005244,-0.88294655,7
247,BA Deep Womp [ADWR],Bass,-0.07039337,-0.9513444,23
248,BA FM Bounce [ASL],Bass,0.8535971,0.35721043,12
249,BA SomeGrit [EE],Bass,0.69746935,-0.3940732,22
250,BA Trancy Bass [AS],Bass,0.092059575,-0.6476771,7
251,BA Squelch Bounce [ASL],Bass,0.7551007,-0.39893037,10
252,BA Liquid neuro [GI],Bass,0.6257587,-0.47252753,22
253,BA Tuffybass [GS],Bass,0.655912,-0.5872202,22
254,BA Classic But More [EE],Bass,-0.42944285,-0.16925837,24
255,BA Deep Sync [BS],Bass,0.69538844,-0.31921846,22
256,BA fuzzbass [GS],Bass,0.029918732,-0.50964695,19
257,BA Tech Step FM [SD],Bass,-0.0020325035,-0.9997882,23
258,BA Chunky Bass Chop 1 [GO],Bass,0.20534736,-0.6640588,7
259,BA The Realest [PL],Bass,0.115353175,-0.67476064,7
260,BA MiniBob [ASL],Bass,0.03029523,-0.8356141,7
261,BA FM Wob [ADWR],Bass,-0.40182194,-0.13826247,24
262,BA Short Bass [FN],Bass,0.6033965,-0.43429795,22
263,BA Jackson [BR],Bass,0.12655205,-0.9154791,7
264,BA MsAw fun [GI],Bass,0.669278,-0.13952896,10
265,BA Hipster Bass [FP],Bass,-0.09448481,-0.90018845,23
266,BA Wobble Bass [FN],Bass,-0.7927825,0.73679847,14
267,BA Organ Bass [FP],Bass,-0.845156,0.27843872,3
268,BA Chunky Bass Chop 2 [GO],Bass,0.16719426,-0.705352,7
269,BA Vile Snap Bs [JL],Bass,0.22669485,-0.68335235,7
270,BA Freed the Mau5 [JL],Bass,-0.10369149,-0.55993694,19
271,BA Modwheel me [GI],Bass,0.27665967,-0.6316769,7
272,BA D_Bass 2 [DU],Bass,0.8680956,0.3125775,12
273,BA Modern Fapping [GI],Bass,0.69177586,-0.2818151,10
274,BA Ampology [CFA],Bass,0.062452555,-0.6752496,7
275,SY Hypersaw Layered [SD],Synth,0.46493202,-0.58050823,1
276,SY AnalogBrass [SD],Synth,-0.06528529,-0.2373351,19
277,SY Sweepad [PL],Synth,0.16285019,-0.32921997,13
278,SY Dirtypure [GS],Synth,-0.6932579,0.8384892,14
279,SY PavingRhodes [SD],Synth,-0.698973,-0.04873695,0
280,SY Many Feels [FP],Synth,-0.5583918,-0.5013147,20
281,SY VeloCap [GS],Synth,-0.040717762,0.42515725,13
282,SY VintageSpace [LCV],Synth,0.79007906,-0.1774407,10
283,SY Multicolor [CFA],Synth,-0.11643591,-0.15156153,19
284,SY SAMsPissed [SD],Synth,0.80046916,-0.10212976,10
285,SY Augustines Bell Chapel [JL],Synth,0.6342886,-0.6206401,22
286,SY ModSync 1 [GS],Synth,-0.368296,-0.41716507,20
287,SY Angry Organ [KG],Synth,0.7105872,-0.10732246,10
288,SY CrazyLayer [SD],Synth,-0.6932579,0.8384892,14
289,SY Mtron Saw [SD],Synth,0.4725171,-0.39155617,22
290,SY CRAZYFEST [BS],Synth,0.68452483,-0.044683043,10
291,SY Chord Rampesau [FN],Synth,0.36352217,-0.6225366,7
292,SY ponderosa [GS],Synth,-0.16911261,0.123503245,13
293,SY One Note House wSub [PL],Synth,-0.33540615,-0.50602484,20
294,SY Plastic [GS],Synth,-0.064220965,-0.7263215,19
295,SY Drawbar Organ [ASL],Synth,-0.61816615,-0.053148486,0
296,SY cHello [GS],Synth,-0.09860159,0.113552615,13
297,SY Simple Sync [SD],Synth,0.51717085,-0.10662955,1
298,SY Arader [FP],Synth,0.2783885,-0.3029117,1
299,SY Sickly keys [GI],Synth,0.020783968,-0.07026292,13
300,SY Space Bach [SN],Synth,0.19762667,-0.33698043,7
301,SY Such Relaxation [FP],Synth,-0.8897391,0.25535166,3
302,SY Eiano [LT],Synth,-0.5329595,-0.4571068,20
303,SY VeloHarm [GS],Synth,0.22117075,0.26038295,7
304,SY Solina [FP],Synth,0.66415036,0.49092138,2
305,SY Yang [FP],Synth,-0.53698695,-0.36532837,20
306,SY MrWiggles [FP],Synth,-0.4944173,-0.3358575,20
307,SY Flic [GS],Synth,0.12573618,-0.65213454,7
308,SY TalkWithMod [GS],Synth,0.012662369,-0.0967155,13
309,SY Synth Pluggy [FN],Synth,-0.53357095,-0.48868388,20
310,SY ModSync 2 [GS],Synth,0.5632842,-0.498641,22
311,SY MellowBuzz [GS],Synth,-0.004889609,-0.267514,19
312,SY Moriccone [GS],Synth,0.013407567,-0.46147126,19
313,SY Vintage Bells [FP],Synth,-0.4159701,-0.34816232,20
314,SY Poly Numana [ASL],Synth,-0.4370389,-0.4438908,20
315,SY JunoBells [SD],Synth,-0.17473672,-0.48107168,19
316,SY PopSuperSaw [GS],Synth,0.66946507,-0.0053689494,10
317,SY electro-y chords [GI],Synth,0.4655914,-0.019133277,1
318,SY Monolithic [SD],Synth,-0.20842402,0.50758827,13
319,SY Monotone [CFA],Synth,0.021577325,0.5826144,13
320,SY Short Dirt Stab [IM],Synth,-0.091075845,-0.6514128,19
321,SY crappy keys [GI],Synth,0.5013076,-0.50134957,22
322,SY AnalogString [SD],Synth,-0.58320105,-0.47108924,20
323,SY Sqrs [GS],Synth,0.15064782,-0.27494445,13
324,SY Buzzz Saw [IM],Synth,0.3858928,0.03719516,1
325,SY Stereoid [SD],Synth,0.3646517,0.0015280257,1
326,SY VintageDigital [SD],Synth,0.13485643,-0.71907926,7
327,SY Runtheharm [GS],Synth,-0.6526528,-0.27431867,20
328,SY Big Sleepy [FP],Synth,-0.24342194,-0.2517671,19
329,SY Linear Arithmetic [FP],Synth,-0.7797638,0.29633912,3
330,SY ElectricLight [GS],Synth,0.090058625,-0.43105912,7
331,SY Geoduck [SN],Synth,0.51844066,-0.37669855,22
332,SY Techarm [GS],Synth,0.25026274,-0.5412383,7
333,SY Glassy [PL],Synth,0.3068737,0.4912205,8
334,SY Hypersaw Basic [SD],Synth,0.47946176,-0.26750952,22
335,SY Taped Old Skool Stabl [ASL],Synth,0.11403482,-0.9409373,7
336,SID drone,Noise,0.6908652,-0.15008356,10
337,Noise BrightWhite,Noise,0.9131282,0.21886982,4
338,Noise MicrKrg Noise,Noise,0.87152004,0.20175448,4
339,PL Snickers [CFA],Plucked,0.057335865,-0.6812486,7
340,PL Phantoms [SD],Plucked,-0.75580835,0.21731842,3
341,PL Tinkerbell [DRK],Plucked,0.8082521,-0.299062,10
342,PL Power and Progress [PL],Plucked,-0.21401046,-0.43920493,19
343,PL Spacer [7S],Plucked,0.21503149,-0.49286273,7
344,PL Metallica [FN],Plucked,0.535678,-0.4555129,22
345,PL Sunny [7S],Plucked,0.18926853,-0.49566096,7
346,PL Pads Pluck [BR],Plucked,-0.15757348,0.16596699,13
347,PL Dyk Pyk [PL],Plucked,-0.5566818,-0.45867565,20
348,PL Beepy ting [GI],Plucked,0.34423503,-0.58683175,7
349,PL RanOutOfNames [7S],Plucked,0.21163645,-0.5598758,7
350,PL Downed [7S],Plucked,0.579686,-0.40267506,22
351,PL Nice Plugger [FN],Plucked,0.12633981,-0.458658,7
352,PL Crusty Pluck [LCV],Plucked,0.5782485,-0.63525575,22
353,PL D_Pluck [DU],Plucked,-0.5581692,-0.33513454,20
354,PL So Dreamy [FP],Plucked,-0.73637724,0.29535973,24
355,PL Modern Drop 1 [DRK],Plucked,0.42994252,-0.49518725,22
356,PL SuperAlba [7S],Plucked,-0.025617223,-0.3857273,19
357,PL Downpitcher [FN],Plucked,-0.021071473,-0.7888543,19
358,PL Crushed Pluck [AS],Plucked,0.24623278,-0.40660378,7
359,PL Cliche d00t [GI],Plucked,0.11714175,-0.54753846,7
360,PL Mallety [SD],Plucked,-0.6345635,-0.1842836,24
361,PL Spacey [AF],Plucked,0.28045475,-0.4848649,1
362,PL FMmy [SD],Plucked,-0.50928265,-0.19494705,20
363,PL Big Bell [AS],Plucked,-0.43325865,-0.29497012,20
364,PL Dreamy NuDisco [SW],Plucked,0.2617102,-0.34412587,7
365,PL Pluto [DRK],Plucked,0.1527085,-0.3188631,7
366,PL Monolith [7S],Plucked,0.0731394,-0.36299255,7
367,PL Plucked [RI],Plucked,0.43370852,-0.43207276,22
368,PL Nothing Special [DRK],Plucked,-0.5607503,-0.42002833,20
369,PL Totem [7S],Plucked,-0.099290684,-0.53436625,19
370,PL Metachord [FP],Plucked,-0.0128856,0.052405573,13
371,SAMPLE Violas,Sample,-0.036636494,0.23103727,13
372,SAMPLE Basic Shapes(Triangle),Sample,-0.88567233,0.6339685,15
373,SAMPLE Yamaha Grand Piano,Sample,-0.5933654,0.05826492,0
374,SAMPLE Basic Shapes(Square),Sample,-0.7238007,0.7001803,14
375,SAMPLE Basic Shapes(Sin),Sample,-0.969371,0.68953264,5
376,SAMPLE Cellos,Sample,-0.076008946,0.15051952,13
377,SAMPLE TOTAKEKE,Sample,0.1067401,0.3918621,13
378,SAMPLE Organ,Sample,-0.91977257,0.32086217,17
379,SAMPLE Basic Shapes(Saw),Sample,-0.11961017,0.49528491,13
380,SAMPLE Acoustic Guitar,Sample,-0.61266106,0.120970994,0
381,SAMPLE Tenor Sax,Sample,0.20588228,0.62766194,8
382,SAMPLE Trombone,Sample,0.27181947,0.5414451,8
383,SAMPLE Clavinet,Sample,-0.4441694,-0.66070276,20
384,SAMPLE Flutes,Sample,-0.7562338,0.06285808,3
385,PLUCK Gamers,ONII-CHAN Pluck,0.2829178,-0.5929591,7
386,PLUCK Loli Bells,ONII-CHAN Pluck,-0.15135433,-0.2590552,19
387,PLUCK Sad Machine,ONII-CHAN Pluck,-0.513313,-0.3085139,20
388,PLUCK Hentai Prince,ONII-CHAN Pluck,-0.011831634,-0.08395344,13
389,PLUCK Frederic Oddloop,ONII-CHAN Pluck,-0.059123397,-0.68326265,19
390,PLUCK OHAYO,ONII-CHAN Pluck,-0.4873,-0.4501553,20
391,PLUCK Tippy,ONII-CHAN Pluck,-0.058231417,-0.2699317,19
392,PLUCK Tap Tap Hoe,ONII-CHAN Pluck,0.76374006,-0.09601894,10
393,PLUCK Plucked Strings,ONII-CHAN Pluck,-0.7158989,0.39815933,24
394,LEAD Tendou Best Girl,ONII-CHAN Lead,0.46932977,-0.62827516,22
395,LEAD ORESAMA,ONII-CHAN Lead,0.7206722,0.067268424,10
396,LEAD Video Jeux,ONII-CHAN Lead,0.41347745,0.067707196,1
397,LEAD Crying Worst Girl,ONII-CHAN Lead,-0.6378601,0.7145249,14
398,LEAD Kitty Meow Meow,ONII-CHAN Lead,0.55363727,-0.30039436,22
